Competency domain,Focus Areas,Resource title,URL,Platform / host,Resource type,Stated learning outcomes,Stated prerequisites,Length (mins),Indicated level,Intended audience,Format type (passive / interactive),Publication date,Last updated,Captions / transcripts,Mobile accessible,Skill area,Student journey stage,Comments,Faculty comments,Faculty initials
,,Executive Summaries,,SASC Communication Support,Short video,,,,,,,,,,,,,,,
,,IMRD Structure,,SASC Communication Support,Short video,,,,,,,,,,,,,,,
,,Known-New Contract,,SASC Communication Support,Short video,,,,,,,,,,,,,,,
,,Law School Statement of Purpose,,SASC Communication Support,Short video,,,,,,,,,,,,,,,
,,Literature Reviews,,SASC Communication Support,Short video,,,,,,,,,,,,,,,
,,Presentation Strategies,,SASC Communication Support,Short video,,,,,,,,,,,,,,,
,,Presenting Research Posters at Conferences,,SASC Communication Support,Short video,,,,,,,,,,,,,,,
,,Research Statements,,SASC Communication Support,Short video,,,,,,,,,,,,,,,
,,Starter Phrases for Academic Writing,,SASC Communication Support,Short video,,,,,,,,,,,,,,,
,,Thesis Statements and Topic Sentences,,SASC Communication Support,Short video,,,,,,,,,,,,,,,
,,Topic Sentences (Bottom Line Up Front),,SASC Communication Support,Short video,,,,,,,,,,,,,,,
,,Using Source Materials for Your Purposes,,SASC Communication Support,Short video,,,,,,,,,,,,,,,
,,Using Source Materials for Your Purposes - The Paraphrasing Spectrum,,SASC Communication Support,Short video,,,,,,,,,,,,,,,
,,Documenting Software Architectures,,Software Engineering Institute (SEI),Online course,,,,,,,,,,,,,,,
,,,,LinkedIn Learning,Online course,,,,,,,,,,,,,,,
Collaboration and intercultural competence,,Collaboration & Teamwork,,Core@CMU,Online module,,,,,,,,,,,,,,,
,,Intercultural & Global Literacy,,Core@CMU,Online module,,,,,,,,,,,,,,,
,,CollaborativeU,,OLI,Online course,,,,,,,,,,,,,,,
,,ConflictU,,OLI,Online course,,,,,,,,,,,,,,,
,,MeetingU,,OLI,Online course,,,,,,,,,,,,,,,
,,,,LinkedIn Learning,Online course,,,,,,,,,,,,,,,
Study and self-management skills,,Student Cognition Toolbox — Study skills and when to use them,,OLI,Online course,,,,,,,,,,,,,,,
,,Citation and Reference Management,,CMU Libraries,Online guide,,,,,,,,,,,,,,,
,,Healthy Relationships Module,,CMU Graduate Student Orientation,Online module,,,,,,,,,,,,,,,
,,Article Acceptance to Promotion,,SAGECampus,Online course,,,,,,,,,,,,,,,
,,Do Your Interviews,,SAGECampus,Online course,,,,,,,,,,,,,,,
,,Grant Writing for Beginners,,SAGECampus,Online course,,,,,,,,,,,,,,,
,,Plan Your Final Research Project,,SAGECampus,Online course,,,,,,,,,,,,,,,
,,Plan Your Focus Group,,SAGECampus,Online course,,,,,,,,,,,,,,,
,,Plan Your Project,,SAGECampus,Online course,,,,,,,,,,,,,,,
,,Research Proposal,,SAGECampus,Online course,,,,,,,,,,,,,,,
,,Run Your Focus Group,,SAGECampus,Online course,,,,,,,,,,,,,,,
,,Submission and Final Touches,,SAGECampus,Online course,,,,,,,,,,,,,,,
,,Working With Transcribed Data,,SAGECampus,Online course,,,,,,,,,,,,,,,
,,Write a Questionnaire,,SAGECampus,Online course,,,,,,,,,,,,,,,
,,Write Your Final Research Project,,SAGECampus,Online course,,,,,,,,,,,,,,,
,,Turning in Your First Paper at CMU Workshop,,SASC Communication Support,Workshop,,,,,,,,,,,,,,,
,,,,LinkedIn Learning,Online course,,,,,,,,,,,,,,,
Ethical and professional awareness,,Responsible Computing,,OLI,Online course,,,,,,,,,,,,,,,
,,Public Policy Analysis for Engineers,,OLI,Online course,,,,,,,,,,,,,,,
,,Questionable Research Practices,,CARMA,Lecture,,,,,,,,,,,,,,,
,,Office of Community Responsibility - Academic Integrity Module for Masters Students,,CMU,Online module,,,,,,,,,,,,,,,
,,University Policy on Academic Integrity,,CMU,Policy document,,,,,,,,,,,,,,,
,,Academic Integrity: The Carnegie Mellon Code,,CMU Graduate Student Orientation,Online module,,,,,,,,,,,,,,,
,,Getting Ethical Approval for Your Project,,SAGECampus,Online course,,,,,,,,,,,,,,,
,,Navigating Institutional Racism Within Higher Education,,SAGECampus,Online course,,,,,,,,,,,,,,,
,,Conducting Culturally Responsive Research,,SAGECampus,Online course,,,,,,,,,,,,,,,
,,Research Ethics for Beginners,,SAGECampus,Online course,,,,,,,,,,,,,,,
,,CERT Cybersecurity Leadership Examination,,Software Engineering Institute (SEI),Certificate exam,,,,,,,,,,,,,,,
,,Insider Risk Management Measures of Effectiveness Certificate Examination,,Software Engineering Institute (SEI),Certificate exam,,,,,,,,,,,,,,,
,,Insider Threat Program Manager Certificate Examination,,Software Engineering Institute (SEI),Certificate exam,,,,,,,,,,,,,,,
,,CERT Certificate in Digital Forensics,,Software Engineering Institute (SEI),Certificate program,,,,,,,,,,,,,,,
,,CERT Cybersecurity Engineering and Software Assurance Professional Certificate,,Software Engineering Institute (SEI),Certificate program,,,,,,,,,,,,,,,
,,Assessing Information Security Risk Using the OCTAVE Approach,,Software Engineering Institute (SEI),Online course,,,,,,,,,,,,,,,
,,Building an Insider Threat Program,,Software Engineering Institute (SEI),Online course,,,,,,,,,,,,,,,
,,Overview of Creating and Managing CSIRTs,,Software Engineering Institute (SEI),Online course,,,,,,,,,,,,,,,
,,Overview of Insider Threat Concepts and Activities,,Software Engineering Institute (SEI),Online course,,,,,,,,,,,,,,,
,,Insider Threat Awareness Training,,Software Engineering Institute (SEI),Training,,,,,,,,,,,,,,,
,,,,LinkedIn Learning,Online course,,,,,,,,,,,,,,,
Foundational technical knowledge and digital literacy,Software Development,Become a Software Developer,https://www.linkedin.com/learning/paths/become-a-software-developer,LinkedIn Learning,Online Course,"Learn foundations of programming for software development.

Practice with popular technologies like HTML and CSS.

Explore core languages like Python, JavaScript, and Java.","Start with Programming Foundations: Fundamentals
",38 hours ,Beginner,,passive,,April 2025,Yes,Yes,"Demonstrate the ability to apply programming skills and software engineering knowledge, including data structures and algorithms, to practical problems.",Pre-arrival,Good course for an introduction to software engineering domain. Could be better taken before foundations of software engineering course. ,,
,,Introduction to Model Context Protocol (MCP),https://www.linkedin.com/learning/model-context-protocol-mcp-for-beginners-by-microsoft/introduction-to-model-context-protocol-mcp,LinkedIn Learning,Online Course,"learn how to build AI agents with the Model Context Protocol (MCP)—a powerful framework for building secure, scalable, and real-world AI applications. 

Find out how to design and deploy AI agents with MCP in Visual Studio Code, contribute to the developer community, and apply best practices from early adopters across a variety of industries.",,51 minutes,Beginner,,Interactive,9/12/2025,17/02/2025,Yes,No,"Demonstrate the ability to apply programming skills and software engineering knowledge, including data structures and algorithms, to practical problems.",Pre-arrival,,,
,,Agile Software Development: Refactoring,https://www.linkedin.com/learning/agile-software-development-refactoring,LinkedIn Learning,Online Course,"By the end of this course, students will be able to configure a Test-Driven Development (TDD) environment and execute fundamental refactoring techniques—such as renaming variables, extracting methods, and inlining methods—to safely improve code quality.

Students will be equipped to manage technical debt and stabilize legacy code by systematically simplifying existing codebases, removing duplication, and designing more reusable objects.

Students will be able to integrate continuous refactoring practices into an Agile development cycle, enabling them to rapidly and efficiently add new features to a streamlined codebase.",,1 h 31minutes ,Intermediate,,Interactive,"February 1, 2019",,Yes,Yes,"Demonstrate the ability to apply programming skills and software engineering knowledge, including data structures and algorithms, to practical problems.",Ongoing study,More of a certification course. Requires Payment to acess ,,
,,Agile Software Development: Transforming Your Organization,https://www.linkedin.com/learning/agile-software-development-transforming-your-organization-22395018,LinkedIn Learning,Online Course,"By the end of this course, students will be able to identify common challenges in agile adoption and implement practical techniques to effectively engage both internal and external customers while assessing and prioritizing their requests.

Students will learn to drive organizational change by developing an agile portfolio, leading top-down transformations, breaking down existing IT silos, and utilizing specific metrics to track the progress of the transformation.

Students will be equipped to scale agile practices across the enterprise by leveraging technical DevOps resources and applying established scaling models such as Scrum@Scale, the Scaled Agile Framework (SAFe), and Large-Scale Scrum (LeSS).",,1 h 18 minutes ,Beginner,,Interactive,,12/2/2025,Yes,Yes,"Demonstrate the ability to apply programming skills and software engineering knowledge, including data structures and algorithms, to practical problems.",Pre-arrival,,,
,,Software Development Life Cycle (SDLC),https://www.linkedin.com/learning/software-development-life-cycle-sdlc-29588033,LinkedIn Learning,Online Course,"By the end of this course, students will be able to evaluate various software development life cycle (SDLC) approaches to select the optimal workflow for their organization.

Students will learn to assess how the choice of a specific development methodology directly impacts project budgeting, staffing, and the overall management of software delivery.

Students will be equipped to differentiate and apply modern, high-level development practices, including Lean, Kanban, and DevOps.",,1h 55 minutes ,Beginner,,Interactive,"May 27, 2025",,Yes,Yes,"Demonstrate the ability to apply programming skills and software engineering knowledge, including data structures and algorithms, to practical problems.",Pre-arrival,,,
,,Agile Software Development: Clean Coding Practices,https://www.linkedin.com/learning/agile-software-development-clean-coding-practices,LinkedIn Learning,Online Course,"By the end of this course, students will be able to write clean code that is easily understood by both human developers and computers.

Students will learn to apply best practices for naming conventions, formatting, and logic to ensure clear and thoughtful code construction.

Students will be equipped to design and implement clean unit tests that are both fast and efficient.",,1h 4 minutes ,Intermediate,,Interactive,"November 4, 2019",,Yes,Yes,"Demonstrate the ability to apply programming skills and software engineering knowledge, including data structures and algorithms, to practical problems.",First semester,,,
,Programming Fundamentals,Programming Foundations: Fundamentals,https://www.linkedin.com/learning/programming-foundations-fundamentals-3,LinkedIn Learning,Online Course,"By the end of this course, students will be able to apply fundamental programming concepts—such as variables, strings, and conditional statements—using Python to understand how code operates under the hood.

Students will learn to manipulate various data types and systematically troubleshoot common programming errors.

Students will be equipped to compare syntax across multiple programming languages and apply specific criteria to confidently choose the best language for their future coding journey.",,3h 11 minutes ,Beginner,,Interactive,,December 2024,Yes,Yes,"Demonstrate the ability to apply programming skills and software engineering knowledge, including data structures and algorithms, to practical problems.",Pre-arrival,This course is part of a Professional Certificate from Microsoft.,,
,,Programming Foundations: Beyond the Fundamentals,https://www.linkedin.com/learning/programming-foundations-beyond-the-fundamentals,LinkedIn Learning,Online Course,"By the end of this course, students will be able to manage paired data using Python dictionaries and implement for loops to iterate through collections.

Students will learn to perform data type conversions and apply string concatenation to effectively format and output descriptive results to the terminal.

Students will be equipped to systematically debug Python code by identifying and resolving syntax, runtime, and logic errors.","Be familiar with variables, functions, and conditional logic.
Watch the Programming Foundations: Fundamentals course if you want to understand the syntax for basic Python commands.
Be sure to install any version of Python that starts with a “3.” Python 3.8.0 is used in the course.
Use any code editor. Visual Studio Code is used in the course.",3h 6 minutes ,Beginner,,Interactive,,November 2024,Yes,Yes,"Demonstrate the ability to apply programming skills and software engineering knowledge, including data structures and algorithms, to practical problems.",Pre-arrival,This course is part of a Professional Certificate from Microsoft.,,
,,Programming Foundations: Data Structures,https://www.linkedin.com/learning/programming-foundations-data-structures-25191158,LinkedIn Learning,Online Course,"By the end of this course, students will be able to implement and utilize fundamental data structures, including arrays, lists, dictionaries, stacks, and queues.

Students will learn to evaluate the time and space complexity of various data structures to analyze trade-offs and design scalable, efficient solutions.

Students will be equipped to apply these structural concepts to solve practical programming challenges, such as executing searching, sorting, and data management tasks.",,2h 46 minutes ,Beginner,Learners new to programming,Interactive,,February 2025,Yes,Yes,"Demonstrate the ability to apply programming skills and software engineering knowledge, including data structures and algorithms, to practical problems.",Pre-arrival,,,
,,Complete Guide to C++ Programming Foundations,https://www.linkedin.com/learning/complete-guide-to-c-plus-plus-programming-foundations,LinkedIn Learning,Online Course,"By the end of this course, students will be able to apply core C++ programming fundamentals and leverage advanced features like the Standard Template Library (STL) to build robust applications.

Students will learn to write efficient, maintainable C++ code by solving practical, hands-on coding challenges.

Students will be equipped with the essential software development skills needed to tackle complex programming tasks and advance their careers as C++ developers.",,7h 1 min,Beginner,,Interactive,,October 2024,Yes,Yes,"Demonstrate the ability to apply programming skills and software engineering knowledge, including data structures and algorithms, to practical problems.",Pre-arrival,,,
,,PHP with MySQL Essential Training: 1 The Basics,https://www.linkedin.com/learning/php-with-mysql-essential-training-1-the-basics,LinkedIn Learning,Online Course,"By the end of this course, students will be able to utilize PHP to develop interconnected, data-driven webpages capable of seamlessly passing dynamic content.

Students will learn to construct and process HTML forms, validate user data, and effectively manage and display errors using PHP.

Students will be equipped with MySQL fundamentals to establish secure database interactions for efficiently storing and retrieving data.",,5h 52minutes ,Beginner,,Interactive,,November 2023,Yes,Yes,"Demonstrate the ability to apply programming skills and software engineering knowledge, including data structures and algorithms, to practical problems.",Pre-arrival,,,
,Math Foundations,Foundational Math for Machine Learning,https://www.linkedin.com/learning/paths/foundational-math-for-machine-learning?u=42257553,LinkedIn Learning,Online Course,"
    - Master linear algebra fundamentals.
    - Grasp calculus concepts for machine learning.
    - Harness the power of probability in machine learning.
    - Unlock insights with statistical analysis.",,5h 48m 16s,Intermediate,,passive,,June 2025,Yes,Yes,"Demonstrate proficiency in mathematics, including calculus, linear algebra, probability and statistics, and discrete mathematics.",Pre-arrival,,,
,,Foundational Math for Generative AI: Understanding LLMs and Transformers through Practical Applications,https://www.linkedin.com/learning/foundational-math-for-generative-ai-understanding-llms-and-transformers-through-practical-applications/intro-to-foundational-math-for-generative-ai?u=42257553,LinkedIn Learning,Online Course,"
    - Gain an intuitive understanding of how and why LLMs and transformers work.
    - Learn how attention mechanisms evolved to solve key problems in RNN-based models.
    - Develop a sentiment analysis model using TensorFlow, Keras, and Hugging Face’s DistilBERT.
    - Enhance models progressively with mathematical insights applied in code, from word embeddings to attention and transformer layers.
    - Use visualizations to grasp how attention and optimization work.
",,3h 23m,Intermediate,,Interactive,"Feb 3, 2025",,Yes,Yes,"Demonstrate proficiency in mathematics, including calculus, linear algebra, probability and statistics, and discrete mathematics.",Ongoing study,,,
,,Machine Learning Foundations: Calculus,https://www.linkedin.com/learning/machine-learning-foundations-calculus/what-you-should-know?autoSkip=true&resume=false&u=42257553,LinkedIn Learning,Online Course,,"While this course presents basic information about coding, you should already be familiar with both computers in general and some programming specifically. Basic Python programming knowledge will definitely help, though it's not strictly necessary. This course is focused on linear algebra capabilities and its applications in Python code. The focus will be on the latest versions of Python 3. Please make sure you have it installed on your machine. 

You will also want to make sure that you have Anaconda installed. We're going to be working with Jupyter Notebooks.",1h 31m,Beginner,If you struggle with calculus concepts and techniques used to design and implement ML algorithms,passive,,May 2025,Yes,Yes,"Demonstrate proficiency in mathematics, including calculus, linear algebra, probability and statistics, and discrete mathematics.",Pre-arrival,,,
,,Probability Foundations for Data Science,https://www.linkedin.com/learning/probability-foundations-for-data-science/introduction-to-probability?u=42257553,LinkedIn Learning,Online Course,,"First, it is important to have a basic knowledge of arithmetic and algebra in order to perform the calculations in this course. Next, it will be helpful if you have a basic understanding of some calculus concepts such as derivatives and integrals. Lastly, it will be helpful if you have a good understanding of basic probability concepts since this course will focus more on advanced topics. A basic probability refresher will be provided in chapter one, but if you need a more thorough refresher of these topics, then please check out Eddie Davila's LinkedIn Learning course, Statistics Foundations 2: Probability.",4h 56m,Intermediate,,passive,"Aug 26, 2024",,Yes,Yes,"Demonstrate proficiency in mathematics, including calculus, linear algebra, probability and statistics, and discrete mathematics.",Pre-arrival,,,
,,Complete Guide to Calculus Foundations for Data Science,https://www.linkedin.com/learning/complete-guide-to-calculus-foundations-for-data-science/introduction-to-calculus?u=42257553,LinkedIn Learning,Online Course,"
    Evaluate limits of various functions, including polynomial, rational, trigonometric, logarithmic, and exponential functions, using multiple techniques such as direct substitution, factoring, and the squeeze theorem.
    Demonstrate proficiency in finding the derivatives of common functions and applying differentiation rules—including the product, quotient, chain, and power rules—to efficiently calculate derivatives.
    Analyze the behavior of functions using derivatives, including finding extreme values, applying the Mean Value Theorem, solving optimization and related rates problems, and using techniques such as linear approximations, L'Hôpital's Rule, and Newton's Method.
    Master integration techniques, such as substitution, integration by parts, and partial fraction decomposition, to evaluate both indefinite and definite integrals of various function types.
    Apply integral calculus to solve real-world problems, including calculating areas between curves, volumes of solids, arc lengths, and solving problems related to work, energy, and probability.","First, it is important to have a basic knowledge of arithmetic and algebra to know how to work with equations, functions, and inequalities. Second, it is helpful to have a basic knowledge of geometry, such as basic shapes and properties, along with trigonometry and its various functions. This knowledge of mathematics will help you perform the calculations throughout this course. If you have taken a pre-calculus or calculus course in the past, this course will bring you up to speed.",10h,Intermediate,This course is an ideal fit for data scientists and data professionals seeking to advance their knowledge of the tools used in their profession and develop a deeper understanding of the mathematical science that drives the world of data.,passive,"Apr 21, 2025",,Yes,Yes,"Demonstrate proficiency in mathematics, including calculus, linear algebra, probability and statistics, and discrete mathematics.",Pre-arrival,,,
,Data Science,Data Science Foundations: Fundamentals,https://www.linkedin.com/learning/data-science-foundations-fundamentals-24591071,LinkedIn Learning,Online Couse,"Explain what data science is and how it relates to AI, machine learning, and business intelligence; Identify key data science roles, skills, tools, and techniques; Describe how data science has evolved with the rise of generative AI; Build a foundational understanding for further study in data science
",,5hr 24 min,Beginner,"Students intrested in
 Datascience
,Machine learning",passive,3/4/ 2025,,Yes,Yes,Other (Specify in the 'Comments' column),First semester,"Students will get  skills in Data Science,Data analytics and   AI Fundamentals",,
,,Python for Data Science and Machine Learning,https://www.linkedin.com/learning/python-for-data-science-and-machine-learning-essential-training-part-1,LinkedIn Learning,Online Course,"Develop practical Python skills for data science and machine learning; Build a real-world data project using web scraping; Clean, transform, and analyze raw data; Create data visualizations and web-based graphs using Streamlit; Apply Python workflows to custom data science projects",,"
7h 44m",Intermediate,"Students intrested in
 Datascience
,Machine learning",Interactive,12/3/20205,,Yes,Yes,Other (Specify in the 'Comments' column),Pre-arrival,"Students will gain skills such as Python (Programming Language),
Machine Learning,
Artificial Intelligence (AI),
Data Science",,
,,Learning Data Visualization,https://www.linkedin.com/learning/learning-data-visualization-15572314,LinkedIn Learning,Online Course,"Explain core principles of effective data visualization; Analyze audience, goals, and data to choose appropriate visuals; Apply chart selection strategies based on human visual perception; Create clear, impactful visual stories from data",,1h 51m,Intermediate,"Students interested in 
Data analysis, 
data-driven insights 
and  data science",Interactive,21/10/2022,,Yes,Yes,Other (Specify in the 'Comments' column),First semester,"Students will gain skills such as 	Data Visualization, Visual Analytics, Data Storytelling etc.",,
,,Learning Data Analytics: 1 Foundations,https://www.linkedin.com/learning/learning-data-analytics-1-foundations,LinkedIn Learning,Online Course,"Explain foundational data analytics concepts and analyst thinking; Use common analytics tools such as Excel, Microsoft Access, SQL, and Power BI; Import, clean, and prepare data from various sources including CSV files; Interpret data, ask the right business questions, and apply basic data governance principles; Create and share datasets for analytical use",,3h 29m,Beginner,"Students intrested
 in Data analytics",Interactive,,19/12/ 2023,Yes,Yes,Other (Specify in the 'Comments' column),First semester,"Students will gain skills such as Data Analytics Fundamentals, SQL Basics, Data Cleaning etc.",,
,,Learning Data Analytics Part 2: Extending and Applying Core Knowledge,https://www.linkedin.com/learning/learning-data-analytics-part-2-extending-and-applying-core-knowledge,LinkedIn Learning,Online Course,"Apply core data analytics skills to create high-quality
 datasets; Use queries, joins, and appends to build analytical 
datasets;Create aggregate data and basic dashboards using
 pivots;  Transform data using Power Query; Deliver data
 insights aligned with business decision-making needs","Learning Data Analytics: 1
 Foundations or equivalent knowledge","
3h 22m",Beginner,"Students intrested
 in Data analytics",Interactive,,19/12/2023,Yes,Yes,Other (Specify in the 'Comments' column),First semester,,,
,,Complete Guide to SQL for Data Engineering: from Beginner to Advanced,https://www.linkedin.com/learning/complete-guide-to-sql-for-data-engineering-from-beginner-to-advanced,LinkedIn Learning,Online Course,"Write and optimize SQL queries for data engineering 
tasks; Apply advanced SQL features including functions, 
views, stored procedures, and indexes; 
Manage database performance, security, and debugging; 
Use SQL in ETL workflows and complete
 a real-world data engineering project",,7h 11m,Intermediate,Students aspiring and  seeking end-to-end SQL mastery,Interactive,, 24/10/ 2025,Yes,Yes,Other (Specify in the 'Comments' column),First semester,"Skills gained are SQL, Data Engineering, ETL, Database Optimization etc(4.7 rating)",,
,,Fundamentals-of-data-transformation-for-data-engineering,https://www.linkedin.com/learning/fundamentals-of-data-transformation-for-data-engineering/welcome-to-data-transformation?u=42257553,LinkedIn Learning,Online Course,"Understand core data transformation concepts and 
best practices; Apply data transformations using pandas 
and DuckDB SQL;  Compare transformation approaches
 across data lakes, data warehouses, and lakehouse
 environments; Make informed decisions about appropriate 
data transformation strategies",,"3h 30m
",Intermediate,"Students who want to earn skills in Data engineering, analytics engineering  and working with modern data platforms",passive,,2/12/2025,Yes,Yes,Other (Specify in the 'Comments' column),First semester,"Data Engineering, Data Transformation",,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,AI & ML,Agentic AI for Developers: Concepts and Application for Enterprises,https://www.linkedin.com/learning/agentic-ai-for-developers-concepts-and-application-for-enterprises,LinkedIn Learning,Online Course,"This course helps learners clearly understand what agentic AI is, how it works, and how it is changing the way business tasks are done. Learners gain practical knowledge of the main components of agentic AI, how to build simple enterprise use cases, and how to follow best practices when developing these systems. The course, taught by Kumaran Ponnambalam, also emphasizes responsible AI, including safety, oversight, and ethical considerations when deploying agentic AI solutions.",,1h 31m,Intermediate,"students 
interested in AI 
and AI Engineering",Interactive,16/9/2024,,Yes,Yes,Other (Specify in the 'Comments' column),First semester,"Demonstrate proficiency
 in agentic AI, including 
understanding 
agent-based concepts, 
applying core system 
components, 
designing enterprise workflows, implementing best practices,
 and addressing responsible AI considerations such as safety, governance, and human oversight.",,
,,Introduction to Prompt Engineering for Generative AI,https://www.linkedin.com/learning/introduction-to-prompt-engineering-for-generative-ai-24636124/joining-the-nlp-revolution,LinkedIn Learning,Online Course,"Describe prompt engineering and its importance; 
Use generative AI tools for text and image generation;
 Explain basic AI tool components; 
Evaluate capabilities and limitations of language models; Demonstrate responsible AI practices",,1hr,Beginner,Students experimenting with generative AI,Interactive,28/8/2024,,Yes,Yes,Other (Specify in the 'Comments' column),Pre-arrival,"AI Prompting, Artificial Intelligence (AI), Prompt Engineering,Part of Microsoft Professional Certificate; high user rating (4.6/5)",,
,,Build with AI: Create Custom Chatbots with n8n,https://www.linkedin.com/learning/build-with-ai-create-custom-chatbots-with-n8n,LinkedIn Learning,Online Course,Build an AI-powered chatbot using n8n; Connect the bot to a vector database like Pinecone for advanced search; Design prompts to handle FAQs; Understand the workflow from prototyping to production-ready AI chatbots; Apply practical AI tools and techniques in real-world scenarios,,1hr 30m,Intermediate,"Students interested in  product AI, AI chatbot",Interactive,31/7/ 2025,,Yes,Yes,Other (Specify in the 'Comments' column),First semester,"Hands-on
 scenario-driven
 course; 
high learner
 engagement and rating (4.8/5)",,
,,Natural Language Processing (NLP) Fundamentals by Pearson,https://www.linkedin.com/learning/natural-language-processing-nlp-fundamentals-by-pearson,LinkedIn Learning,Online Course,"Understand NLP fundamentals including text representation, cleaning, topic detection, regular expressions, and sentiment analysis; Apply PyTorch for text classification and sequence-to-sequence models; Explain transformer architectures underlying LLMs like ChatGPT, Claude, and BERT; Leverage NLP tools and algorithms for practical applications",,6h 10m,Intermediate,Students intrested in Natural Language Processing,passive,18/2/ 2026,,Yes,Yes,Other (Specify in the 'Comments' column),First semester,This course Covers both foundational and advanced NLP concepts; hands-on with NLTK and PyTorch; suitable for building practical NLP skills(4.7/5),,
,,Introduction to Transformer Models for NLP,https://www.linkedin.com/learning/introduction-to-transformer-models-for-nlp,LinkedIn Learning,Online Course,"Explain the core concepts of transformer architectures; Understand attention, embedding, and tokenization mechanisms; Develop practical NLP pipelines using transformer models; Apply Python examples in Jupyter notebooks to implement transformer-based NLP models",,11h 18m,Intermediate,Students looking to deepen their understanding of transformer models,passive, 22/10/ 2024,,Yes,Yes,Other (Specify in the 'Comments' column),First semester,"Covers Transformer Models, Large Language Models, Attention Mechanisms, Embeddings, Tokenization, NLP Pipelines",,
,,pytorch-essential-training-deep-learning,https://www.linkedin.com/learning/pytorch-essential-training-deep-learning-23753149/deep-learning-with-pytorch?u=42257553,LinkedIn Learning,Online Course,"Explain core PyTorch concepts and APIs; Load and preprocess data using PyTorch utilities; Build and train deep learning models; Apply PyTorch for experimentation, prototyping, and research workflows",,"1h 21m
",Intermediate,"Students interested in deep learning,AI",passive,15/4/2024,,Yes,Yes,Other (Specify in the 'Comments' column),First semester,"Covers PyTorch, Deep Learning, Neural Networks",,
,,,,,,,,,,,,,,,,,,,,
,Networking,Cisco Certified Network Associate (CCNA) v1.1 (200-301) Cert Prep,https://www.linkedin.com/learning/cisco-certified-network-associate-ccna-v1-1-200-301-cert-prep/diving-into-the-course?u=42257553,LinkedIn Learning,Online Course,"By the end of this course, the learner will be able to:
Understand network fundamentals, network access, IP connectivity, IP services, security fundamentals, and automation and programmability. 
Learn about the critical components and architectures of modern networks, including routers, switches, security appliances, and more. 
Explore how TCP and UDP protocols affect data transmission. D
iscover how to manage IPv4 and IPv6 addresses, delve into subnetting, and explore Ethernet switching fundamentals. 
Acquire hands-on experience with routing fundamentals and gain insights into first hop redundancy protocols (FHRPs).
 Boost their knowledge of wireless networks, network services, and network security. 
",,18h,Intermediate,,Interactive,10/24/0202,,Yes,Yes,"Demonstrate foundational knowledge in computer architecture, operating systems, networking, and databases.",Ongoing study,Covers a wide range of topics to help you prepare for the CCNA exam.,,
,,Networking Foundations: Networking Basics,https://www.linkedin.com/learning/networking-foundations-networking-basics/welcome-to-the-network-24998881?u=42257553,LinkedIn Learning,Online Course,"The objective of the course is to provide an overview of foundational networking topics that any networking professional should know. It covers the purpose of networks, how networking technologies benefit us in personal and business contexts, and introduces emerging technologies. The course also delves into network addresses, switches, routers, fiber-optic cabling, the OSI model, common network services, wireless networks, and more",,1h 49m,Beginner,Networking professionals,passive,12/20/2024,,Yes,Yes,"Demonstrate foundational knowledge in computer architecture, operating systems, networking, and databases.",Pre-arrival,"To help learners understand the wide spectrum of technologies falling under the umbrella of networking. This course provides an overview of the foundational topics any networking professional should know, as well as an introduction to emerging technologies.",,
,,"Telecom Network Evolution 2G-to- 6G: Technologies, Architectures, and Key Concepts ",https://www.linkedin.com/learning/telecom-network-evolution-2g-to-6g-technologies-architecture-and-key-concepts/introduction-to-telecom-network-evolution?u=42257553,LinkedIn Learning,Online Course,"By the end of this course, the learner will be able to:
Compare the evolution of telecom networks from 2G to 6G, including key architectural differences, capabilities, and standards defined by 3GPP and ITU.
Explain the key components and functions of 4G (LTE) and 5G network architectures, including RAN, core network (AMF, SMF, and UPF), and transport network.
Analyze spectrum allocation, frame structures, and physical layer technologies—including OFDMA, MIMO, and carrier aggregation—used in 4G and 5G networks.
Interpret call flows and signaling procedures in 4G and 5G networks, including registration, mobility management, and end-to-end session establishment.
Evaluate emerging technologies such as virtualization, cloud computing, and network slicing in the context of 5G and future 6G networks.",,5h 18m,Beginner,,passive,10/9/2025,,Yes,Yes,"Demonstrate foundational knowledge in computer architecture, operating systems, networking, and databases.",Ongoing study,"As technology evolves, 6G is expected to seamlessly blend the physical, digital, and human worlds by 2030, making comprehension of this evolution essential for career readiness and technological fluency.",,
,,Cloud Computing: Understanding Networking,https://www.linkedin.com/learning/cloud-computing-understanding-networking/welcome?u=42257553,LinkedIn Learning,Online Course,"Here are the key objectives you can expect to achieve:

Understand the basics of cloud networking: Learn about public, private, hybrid, and multicloud architectures.
Explore cloud-based network services: Gain knowledge on DNS, DHCP, VPN, and VPC.
Learn about network security: Understand the challenges and how to implement security measures in the cloud.
Interconnect cloud environments: Discover how to establish connectivity between different cloud environments.
Monitor and troubleshoot networks: Get familiar with tools and techniques for network monitoring and troubleshooting. 
",,49m,Beginner,,passive,3/1/2024,,Yes,Yes,"Demonstrate foundational knowledge in computer architecture, operating systems, networking, and databases.",Ongoing study,Good introductory course for complex cloud concepts,,
